,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Kurilsk,RU,50.6789,156.125,53.35,69,100,6.11,overcast clouds
1,Port Hedland,AU,-20.3167,118.5667,80.65,65,90,8.05,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,35.71,93,0,5.75,clear sky
3,Alice Springs,AU,-23.7,133.8833,74.21,21,9,11.99,clear sky
4,Lenger,KZ,42.183,69.8839,76.44,22,14,2.53,few clouds
5,Mataura,NZ,-46.1927,168.8643,52.3,72,23,2.68,few clouds
6,Barrow,US,71.2906,-156.7887,33.82,80,90,12.66,overcast clouds
7,Cabo San Lucas,MX,22.8909,-109.9124,86.81,66,0,6.62,clear sky
8,Port Hardy,CA,50.6996,-127.4199,55.58,76,75,16.11,light rain
9,Kindu,CD,-2.95,25.95,67.87,72,60,1.83,broken clouds
10,Krasnoarmeysk,RU,51.0239,45.6969,65.16,83,21,1.34,few clouds
11,Mitsamiouli,KM,-11.3847,43.2844,76.19,67,0,8.68,clear sky
12,Saint-Dizier,FR,48.4167,5.0833,59.05,97,96,4,overcast clouds
13,Namibe,AO,-15.1961,12.1522,70.14,65,1,7.92,clear sky
14,Lorengau,PG,-2.0226,147.2712,83.61,74,15,10.98,light rain
15,Sao Filipe,CV,14.8961,-24.4956,73.53,83,47,4.12,scattered clouds
16,Saint-Philippe,RE,-21.3585,55.7679,71.47,79,96,14.79,overcast clouds
17,San Jose,US,37.3394,-121.895,71.46,54,20,5.99,few clouds
18,Lavrentiya,RU,65.5833,-171,36.99,96,100,6.22,overcast clouds
19,Luderitz,NA,-26.6481,15.1594,66.09,45,59,4.25,broken clouds
20,Ushuaia,AR,-54.8,-68.3,40.66,75,90,4.61,light rain
21,Cape Town,ZA,-33.9258,18.4232,59.11,85,75,10.36,broken clouds
22,Codrington,AU,-38.2667,141.9667,58.69,70,34,10.98,scattered clouds
23,Makhachkala,RU,42.9764,47.5024,66.18,67,21,2.33,few clouds
24,Rikitea,PF,-23.1203,-134.9692,76.15,86,100,11.05,overcast clouds
25,Krasnoselkup,RU,65.7,82.4667,49.69,74,100,16.46,light rain
26,Kirakira,SB,-10.4544,161.9205,82.6,78,50,10.02,scattered clouds
27,Busselton,AU,-33.65,115.3333,63.05,70,0,1.54,clear sky
