City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-06-03 03:05:03,-9.8,-139.0333,79.86,73,83,16.58
1,Hobart,AU,2021-06-03 03:02:41,-42.8794,147.3294,60.66,65,75,1.99
2,Mildura,AU,2021-06-03 03:05:04,-34.2,142.15,53.56,100,90,5.75
3,Ushuaia,AR,2021-06-03 03:00:57,-54.8,-68.3,21.49,96,28,5.1
4,Klaksvik,FO,2021-06-03 03:05:05,62.2266,-6.589,49.12,96,100,11.88
5,Westport,US,2021-06-03 03:04:37,41.1415,-73.3579,64.17,85,1,1.01
6,Benjamin Constant,BR,2021-06-03 03:05:06,-4.3831,-70.0311,73.85,96,94,2.13
7,Laje,BR,2021-06-03 03:05:07,-10.1833,-40.9667,70.92,82,100,11.1
8,Punta Arenas,CL,2021-06-03 03:01:48,-53.15,-70.9167,31.32,75,67,7.0
9,Rikitea,PF,2021-06-03 03:05:08,-23.1203,-134.9692,73.08,60,84,15.64
10,Bethel,US,2021-06-03 03:05:09,41.3712,-73.414,62.85,79,1,0.0
11,Belmonte,BR,2021-06-03 03:05:09,-15.8631,-38.8828,72.1,83,29,6.13
12,Kieta,PG,2021-06-03 03:05:10,-6.2167,155.6333,78.51,92,89,6.08
13,Abbeville,FR,2021-06-03 03:02:40,50.1,1.8333,64.49,96,63,4.12
14,Mataura,NZ,2021-06-03 03:05:11,-46.1927,168.8643,49.48,78,60,2.08
15,Nikolskoye,RU,2021-06-03 03:05:11,59.7035,30.7861,49.89,68,37,3.94
16,Beloha,MG,2021-06-03 03:05:12,-25.1667,45.05,64.63,90,39,7.9
17,Paamiut,GL,2021-06-03 03:05:13,61.994,-49.6678,36.48,98,100,14.63
18,Belawan,ID,2021-06-03 03:05:14,3.7755,98.6832,80.89,77,79,1.43
19,New Norfolk,AU,2021-06-03 03:05:15,-42.7826,147.0587,60.3,50,100,3.51
20,Castro,BR,2021-06-03 03:00:58,-24.7911,-50.0119,55.89,94,2,3.04
21,Carnarvon,AU,2021-06-03 03:05:16,-24.8667,113.6333,67.59,46,100,17.09
22,Hilo,US,2021-06-03 03:05:17,19.7297,-155.09,85.28,78,93,3.0
23,Bengkulu,ID,2021-06-03 03:05:18,-3.8004,102.2655,85.64,62,69,2.42
24,Cape Town,ZA,2021-06-03 03:02:58,-33.9258,18.4232,58.87,65,0,4.0
25,Villamontes,BO,2021-06-03 03:05:18,-21.25,-63.5,62.98,77,50,5.57
26,Saldanha,ZA,2021-06-03 03:05:19,-33.0117,17.9442,56.55,82,0,12.33
27,Albany,US,2021-06-03 03:04:26,42.6001,-73.9662,63.03,93,100,3.69
28,Nemuro,JP,2021-06-03 03:05:20,43.3236,145.575,51.22,96,95,9.98
29,Bredasdorp,ZA,2021-06-03 03:05:21,-34.5322,20.0403,53.28,86,12,4.74
30,Padang,ID,2021-06-03 03:05:01,-0.9492,100.3543,83.48,73,83,1.61
31,Wexford,IE,2021-06-03 03:05:22,52.3342,-6.4575,57.13,94,88,11.05
32,Abalak,RU,2021-06-03 03:05:23,58.1286,68.5944,55.63,38,16,3.6
33,Port Elizabeth,ZA,2021-06-03 03:05:24,-33.918,25.5701,60.66,60,88,10.27
34,Qaanaaq,GL,2021-06-03 03:05:24,77.484,-69.3632,24.26,88,100,4.59
35,Vila Franca Do Campo,PT,2021-06-03 03:05:25,37.7167,-25.4333,57.61,73,81,3.87
36,Geraldton,AU,2021-06-03 03:05:26,-28.7667,114.6,63.01,63,0,11.59
37,Wajir,KE,2021-06-03 03:05:26,1.7471,40.0573,72.75,81,94,11.95
38,Port Alfred,ZA,2021-06-03 03:05:27,-33.5906,26.891,61.59,60,100,17.92
39,Ponta Do Sol,PT,2021-06-03 03:05:27,32.6667,-17.1,65.71,71,100,7.96
40,Fonte Boa,BR,2021-06-03 03:05:28,-2.4959,-66.2662,74.07,90,71,1.43
